trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,natural_resource/land,natural_resource/water,resources_intensity
130179,RU,WM,WOODW,CONST,543.57,32465.055,2.0,2.0,32439.0,26.055,59.72562
130032,RU,WM,WHEAT,FOOD5,1045.51,25436.347,2.0,2.0,25407.0,29.347,24.329128
30181,CN,WM,WOODW,CONST,915.64,20835.249,2.0,2.0,20811.0,24.249,22.754848
3855,AU,WM,CATTL,MEATC,56.95,16901.353,2.0,2.0,16901.0,0.353,296.775294
130111,RU,WM,WHEAT,WHEAT,661.94,16104.581,2.0,2.0,16086.0,18.581,24.329367
164888,WF,WM,MEATA,EDUCA,175.64,15453.233,2.0,2.0,15450.0,3.233,87.982424
3835,AU,WM,CATTL,EDUCA,47.7,14158.295,2.0,2.0,14158.0,0.295,296.819602
3864,AU,WM,CATTL,PFERT,46.21,13714.286,2.0,2.0,13714.0,0.286,296.781779
16624,BR,WM,MEATC,HOTEL,271.56,13329.263,2.0,2.0,13325.0,4.263,49.084044
164924,WF,WM,MEATA,PFERT,138.97,12226.558,2.0,2.0,12224.0,2.558,87.979837
53384,FI,WM,WOODW,CONST,396.3,12048.241,2.0,2.0,12043.0,5.241,30.401819
15168,BR,WM,CATTL,MEATC,120.05,11071.484,2.0,2.0,11069.0,2.484,92.22394
164933,WF,WM,MEATA,REALE,115.87,10195.133,2.0,2.0,10193.0,2.133,87.987684
126002,RU,WM,CEREA,FOOD5,349.33,10121.606,2.0,2.0,10114.0,7.606,28.974339
162531,WE,WM,WHEAT,FOOD5,309.5,9971.708,2.0,2.0,9965.0,6.708,32.218766
24784,CN,WM,BASIC,CONST,5548.53,9438.48,2.0,2.0,8941.0,497.48,1.701078
15144,BR,WM,CATTL,EDUCA,100.56,9274.081,2.0,2.0,9272.0,2.081,92.224354
15178,BR,WM,CATTL,PFERT,97.41,8983.016,2.0,2.0,8981.0,2.016,92.218622
130243,RU,WM,WOODW,REALE,144.41,8624.922,2.0,2.0,8618.0,6.922,59.725241
163141,WF,WM,CATTL,MEATC,42.48,8196.323,2.0,2.0,8195.0,1.323,192.945457
3873,AU,WM,CATTL,REALE,26.93,7994.167,2.0,2.0,7994.0,0.167,296.84987
167713,WL,WM,CEREA,FOOD5,595.07,7547.865,2.0,2.0,7535.0,12.865,12.683995
15281,BR,WM,CEREA,FOOD5,534.91,7311.249,2.0,2.0,7277.0,34.249,13.668185
163123,WF,WM,CATTL,EDUCA,35.59,6866.108,2.0,2.0,6865.0,1.108,192.922394
159041,WE,WM,CEREA,FOOD5,317.34,6858.676,2.0,2.0,6846.0,12.676,21.613021
163149,WF,WM,CATTL,PFERT,34.47,6651.073,2.0,2.0,6650.0,1.073,192.952509
29230,CN,WM,RUBBE,CONST,2853.92,6418.011,2.0,2.0,6203.0,215.011,2.248841
130265,RU,WM,WOODW,WOODW,106.51,6361.105,2.0,2.0,6356.0,5.105,59.723078
164107,WF,WM,FORES,PFERT,3.66,6343.022,2.0,2.0,6343.0,0.022,1733.06612
162606,WE,WM,WHEAT,WHEAT,195.95,6313.247,2.0,2.0,6309.0,4.247,32.218663
169203,WL,WM,MEATC,HOTEL,117.21,6216.277,2.0,2.0,6214.0,2.277,53.035381
164111,WF,WM,FORES,WOODW,3.54,6128.021,2.0,2.0,6128.0,0.021,1731.079379
130022,RU,WM,WHEAT,EDUCA,249.01,6057.99,2.0,2.0,6051.0,6.99,24.3283
83376,IN,WM,FURNI,CONST,1703.61,6016.489,2.0,2.0,5972.0,44.489,3.531612
5213,AU,WM,MEATA,EDUCA,20.1,5952.145,2.0,2.0,5952.0,0.145,296.126617
30248,CN,WM,WOODW,REALE,243.26,5535.442,2.0,2.0,5529.0,6.442,22.75525
26044,CN,WM,FABRI,CONST,4005.74,5467.055,2.0,2.0,5189.0,278.055,1.364805
154536,WA,WM,MEATC,HOTEL,178.25,5410.42,2.0,2.0,5401.0,9.42,30.352987
25190,CN,WM,CERAM,CONST,2928.75,5281.581,2.0,2.0,5133.0,148.581,1.803357
15189,BR,WM,CATTL,REALE,56.78,5236.175,2.0,2.0,5235.0,1.175,92.218651
5281,AU,WM,MEATC,HOTEL,35.46,5168.167,2.0,2.0,5168.0,0.167,145.74639
3823,AU,WM,CATTL,CATTL,17.23,5115.107,2.0,2.0,5115.0,0.107,296.872142
6854,AU,WM,WHEAT,FOOD5,195.29,5082.423,2.0,2.0,5079.0,3.423,26.025004
164865,WF,WM,MEATA,93197,56.18,4943.034,2.0,2.0,4942.0,1.034,87.985653
130088,RU,WM,WHEAT,REALE,201.39,4899.653,2.0,2.0,4894.0,5.653,24.329177
151702,WA,WM,CEREA,FOOD5,310.25,4734.076,2.0,2.0,4725.0,9.076,15.258907
5241,AU,WM,MEATA,PFERT,15.9,4710.115,2.0,2.0,4710.0,0.115,296.233648
164936,WF,WM,MEATA,RESEA,53.0,4662.976,2.0,2.0,4662.0,0.976,87.980679
164909,WF,WM,MEATA,MEAT4,52.17,4590.96,2.0,2.0,4590.0,0.96,88.0
167629,WL,WM,CATTL,MEATC,45.24,4482.78,2.0,2.0,4482.0,0.78,99.088859
150409,US,WM,WHEAT,FOOD5,359.4,4285.473,2.0,2.0,4272.0,13.473,11.923965
130196,RU,WM,WOODW,FURNI,68.43,4087.28,2.0,2.0,4084.0,3.28,59.729358
30272,CN,WM,WOODW,WOODW,179.41,4082.751,2.0,2.0,4078.0,4.751,22.756541
26396,CN,WM,FURNI,CONST,1133.78,4076.118,2.0,2.0,4050.0,26.118,3.595158
125978,RU,WM,CEREA,CEREA,138.54,4014.017,2.0,2.0,4011.0,3.017,28.973704
5248,AU,WM,MEATA,REALE,13.26,3927.096,2.0,2.0,3927.0,0.096,296.161086
163158,WF,WM,CATTL,REALE,20.09,3876.626,2.0,2.0,3876.0,0.626,192.962967
18481,BR,WM,WOODW,CONST,79.82,3825.87,2.0,2.0,3821.0,4.87,47.93122
16622,BR,WM,MEATC,HEALT,77.26,3792.213,2.0,2.0,3791.0,1.213,49.083782
167610,WL,WM,CATTL,EDUCA,37.9,3754.654,2.0,2.0,3754.0,0.654,99.067388
164901,WF,WM,MEATA,INSUR,42.39,3729.78,2.0,2.0,3729.0,0.78,87.987261
167637,WL,WM,CATTL,PFERT,36.71,3637.633,2.0,2.0,3637.0,0.633,99.091065
164898,WF,WM,MEATA,HEALT,40.23,3539.741,2.0,2.0,3539.0,0.741,87.987596
130073,RU,WM,WHEAT,PFERT,144.51,3516.056,2.0,2.0,3512.0,4.056,24.330884
3818,AU,WM,CATTL,93197,11.72,3479.073,2.0,2.0,3479.0,0.073,296.849232
