trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,impact_intensity
72770,GB,IE,NATUR,DAIRY,1187.94,3027552181.826,7.0,7.0,2548573.313321
43088,GB,DK,SEACO,SEACO,1086.82,1374833598.372,7.0,7.0,1265005.79523
39102,GB,DE,SEACO,SEACO,876.84,1109204378.852,7.0,7.0,1265002.028708
74201,GB,IE,RUBBE,CHEM1,2983.55,1011365289.614,7.0,7.0,338980.506314
138440,GB,TW,SEACO,93197,758.95,960070111.846,7.0,7.0,1264997.841552
141355,GB,US,KEROS,AIRTR,1050.16,904805894.778,7.0,7.0,861588.610096
69912,GB,IE,CHEM1,CHEM1,3959.57,865902739.649,7.0,7.0,218686.054205
150909,GB,WA,SEACO,SEACO,641.67,811711245.067,7.0,7.0,1264997.966349
105656,GB,NL,SEACO,SEACO,578.27,731509881.842,7.0,7.0,1264997.115261
157675,GB,WF,KEROS,AIRTR,819.24,705845829.28,7.0,7.0,861586.139935
74436,GB,IE,SEACO,CONST,494.79,625908532.399,7.0,7.0,1264998.34758
24975,GB,CN,CRUDE,MOTOR,1964.76,563054594.057,7.0,7.0,286576.77989
11074,GB,BE,SEACO,CONST,427.67,541008647.672,7.0,7.0,1265014.25789
26649,GB,CN,MOTO1,MOTO1,2504.36,537405948.3,7.0,7.0,214588.137608
11143,GB,BE,SEACO,SEACO,404.78,512042907.046,7.0,7.0,1264990.629591
138446,GB,TW,SEACO,SEACO,368.52,466175269.463,7.0,7.0,1264993.133244
9080,GB,BE,KEROS,CONST,537.72,463295171.873,7.0,7.0,861591.854261
35286,GB,DE,CRUDE,GASDI,1583.92,453913726.005,7.0,7.0,286576.169254
70362,GB,IE,DAIRY,COMPU,2052.22,445794235.955,7.0,7.0,217225.36373
24966,GB,CN,CRUDE,GASDI,1523.77,436674720.404,7.0,7.0,286575.21831
101146,GB,NL,CRUDE,CHEM1,1498.48,429429128.07,7.0,7.0,286576.482883
69542,GB,IE,BASIC,OFFIC,657.71,418372607.855,7.0,7.0,636104.982219
69617,GB,IE,BEVER,LANDT,1555.36,406445904.809,7.0,7.0,261319.504686
9594,GB,BE,MOTO1,MOTO1,1853.32,397699816.807,7.0,7.0,214587.775887
101206,GB,NL,CRUDE,MOTOR,1387.54,397636142.83,7.0,7.0,286576.345785
72774,GB,IE,NATUR,ELEC2,154.31,393265775.736,7.0,7.0,2548543.68308
87298,GB,JP,SEACO,SEACO,298.27,377317230.588,7.0,7.0,1265019.04512
141236,GB,US,INSUR,INSUR,7293.05,376721570.929,7.0,7.0,51654.872917
