trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,natural_resource/land,natural_resource/water,resources_intensity
1532,AU,AU,CATTL,MEATC,4243.1,1259363.268,2.0,2.0,1259337.0,26.268,296.802637
1486,AU,AU,CATTL,CATTL,1995.02,592126.351,2.0,2.0,592114.0,12.351,296.802213
5766,AU,AU,FORES,FORES,431.54,274423.146,2.0,2.0,274421.0,2.146,635.915897
5834,AU,AU,FORES,WOODW,340.5,216526.693,2.0,2.0,216525.0,1.693,635.908056
11947,AU,AU,RAWMI,DAIRY,2144.17,176475.303,2.0,2.0,176466.0,9.303,82.304716
5749,AU,AU,FORES,CONST,249.78,158835.242,2.0,2.0,158834.0,1.242,635.90056
15463,AU,AU,WOODW,CONST,8508.77,138983.934,2.0,2.0,138888.0,95.934,16.334198
2575,AU,AU,CONST,CONST,69309.85,137987.185,2.0,2.0,137332.0,655.185,1.990874
8163,AU,AU,MEATA,WHOLE,374.57,110951.704,2.0,2.0,110949.0,2.704,296.210866
8200,AU,AU,MEATC,FOOD5,411.38,59959.936,2.0,2.0,59958.0,1.936,145.753163
1583,AU,AU,CATTL,WHOLE,198.36,58872.228,2.0,2.0,58871.0,1.228,296.794858
8207,AU,AU,MEATC,HOTEL,400.89,58430.887,2.0,2.0,58429.0,1.887,145.752917
11971,AU,AU,RAWMI,HOTEL,607.11,49967.634,2.0,2.0,49965.0,2.634,82.304087
1562,AU,AU,CATTL,RETA1,141.01,41852.873,2.0,2.0,41852.0,0.873,296.807836
5833,AU,AU,FORES,WHOLE,65.69,41773.327,2.0,2.0,41773.0,0.327,635.916076
8219,AU,AU,MEATC,MEATC,223.62,32593.053,2.0,2.0,32592.0,1.053,145.751959
11946,AU,AU,RAWMI,CROPS,342.97,28228.488,2.0,2.0,28227.0,1.488,82.305998
5808,AU,AU,FORES,PULP5,43.84,27880.218,2.0,2.0,27880.0,0.218,635.953878
5829,AU,AU,FORES,VEGET,42.68,27143.212,2.0,2.0,27143.0,0.212,635.970291
5767,AU,AU,FORES,FURNI,39.1,24865.194,2.0,2.0,24865.0,0.194,635.938465
1557,AU,AU,CATTL,RAWMI,66.68,19792.413,2.0,2.0,19792.0,0.413,296.82683
12024,AU,AU,RAWMI,SUGA1,222.18,18286.964,2.0,2.0,18286.0,0.964,82.306976
8146,AU,AU,MEATA,RETA1,57.4,17002.414,2.0,2.0,17002.0,0.414,296.209303
8253,AU,AU,MEATC,RETA1,114.28,16656.538,2.0,2.0,16656.0,0.538,145.751995
1561,AU,AU,CATTL,RESEA,55.98,16614.347,2.0,2.0,16614.0,0.347,296.790765
5792,AU,AU,FORES,NONSP,25.86,16441.129,2.0,2.0,16441.0,0.129,635.774517
5762,AU,AU,FORES,FABRI,25.32,16098.126,2.0,2.0,16098.0,0.126,635.786967
