trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,natural_resource/land,natural_resource/water,resources_intensity
5129692,WM,WM,RAWMI,DAIRY,7438.39,470463.858,2.0,2.0,468968.0,1495.858,63.248076
5129084,WM,WM,CATTL,MEATC,3064.79,281314.941,2.0,2.0,280834.0,480.941,91.789304
5129066,WM,WM,CATTL,CATTL,2618.4,240340.891,2.0,2.0,239930.0,410.891,91.789219
5138335,WM,WM,ELEC2,CRUDE,6507.78,136401.635,2.0,2.0,2036.0,134365.635,20.95978
5128219,WM,WM,WHEAT,FOOD5,3571.63,77686.072,2.0,2.0,76700.0,986.072,21.750873
5129695,WM,WM,RAWMI,FOOD5,1017.86,64377.691,2.0,2.0,64173.0,204.691,63.24808
5129071,WM,WM,CATTL,RAWMI,626.84,57537.366,2.0,2.0,57439.0,98.366,91.789557
5138417,WM,WM,ELEC2,DISTR,2502.29,52447.645,2.0,2.0,783.0,51664.645,20.959859
5129927,WM,WM,FORES,PAPER,409.04,42122.09,2.0,2.0,42072.0,50.09,102.977924
5132120,WM,WM,DAIRY,DAIRY,1289.64,41110.062,2.0,2.0,40826.0,284.062,31.877161
5129456,WM,WM,MEATA,MEAT4,449.57,38986.676,2.0,2.0,38944.0,42.676,86.719923
5128345,WM,WM,CEREA,FOOD5,2768.09,36106.184,2.0,2.0,35724.0,382.184,13.043718
5132495,WM,WM,FOOD5,FOOD5,4154.83,30923.043,2.0,2.0,30198.0,725.043,7.442673
5140585,WM,WM,RETA1,CONST,29226.51,30619.441,2.0,2.0,25829.0,4790.441,1.04766
5129069,WM,WM,CATTL,MEATA,326.34,29955.211,2.0,2.0,29904.0,51.211,91.791417
5138809,WM,WM,ELEC6,CRUDE,1961.94,29739.428,2.0,2.0,866.0,28873.428,15.158174
5128185,WM,WM,WHEAT,WHEAT,1359.81,29577.423,2.0,2.0,29202.0,375.423,21.751144
5129092,WM,WM,CATTL,FOOD5,272.21,24985.716,2.0,2.0,24943.0,42.716,91.788384
5140440,WM,WM,WHOLE,CONST,36859.87,23754.653,2.0,2.0,21432.0,2322.653,0.644458
5129316,WM,WM,POULT,POULT,6075.04,23694.75,2.0,2.0,22418.0,1276.75,3.900345
5129334,WM,WM,POULT,MEAT1,6055.95,23620.739,2.0,2.0,22348.0,1272.739,3.900418
5129758,WM,WM,RAWMI,CONST,337.19,21326.808,2.0,2.0,21259.0,67.808,63.248637
5131553,WM,WM,MEATC,HOTEL,482.68,19911.377,2.0,2.0,19846.0,65.377,41.251713
5133493,WM,WM,WOODW,CONST,5321.07,19580.367,2.0,2.0,18612.0,968.367,3.67978
5129763,WM,WM,RAWMI,HOTEL,297.99,18847.926,2.0,2.0,18788.0,59.926,63.250196
5129978,WM,WM,FORES,CONST,164.69,16959.167,2.0,2.0,16939.0,20.167,102.976301
5138416,WM,WM,ELEC2,TRAN1,807.68,16929.129,2.0,2.0,253.0,16676.129,20.960193
5132123,WM,WM,DAIRY,FOOD5,521.49,16623.865,2.0,2.0,16509.0,114.865,31.877629
5138425,WM,WM,ELEC2,CONST,774.32,16229.422,2.0,2.0,242.0,15987.422,20.95958
5129121,WM,WM,CATTL,CHEM1,175.48,16107.538,2.0,2.0,16080.0,27.538,91.791304
5129489,WM,WM,MEATA,CHEM1,166.3,14421.786,2.0,2.0,14406.0,15.786,86.721503
5138447,WM,WM,ELEC2,PUBLI,684.43,14345.308,2.0,2.0,214.0,14131.308,20.959496
5135855,WM,WM,CEMEN,CONST,10026.25,14272.645,2.0,2.0,10402.0,3870.645,1.423528
5139311,WM,WM,DISTR,DISTR,4413.88,13908.325,2.0,2.0,1264.0,12644.325,3.151043
5129672,WM,WM,RAWMI,RAWMI,216.23,13676.484,2.0,2.0,13633.0,43.484,63.249706
5129725,WM,WM,RAWMI,CHEM1,204.48,12933.12,2.0,2.0,12892.0,41.12,63.248826
5132468,WM,WM,FOOD5,POULT,1597.18,11887.718,2.0,2.0,11609.0,278.718,7.442942
5132194,WM,WM,DAIRY,HOTEL,367.27,11707.897,2.0,2.0,11627.0,80.897,31.878174
5138448,WM,WM,ELEC2,EDUCA,558.11,11698.205,2.0,2.0,175.0,11523.205,20.960393
5138889,WM,WM,ELEC6,DISTR,741.27,11236.107,2.0,2.0,327.0,10909.107,15.157914
5129699,WM,WM,RAWMI,TEXTI,171.51,10847.49,2.0,2.0,10813.0,34.49,63.246983
5132213,WM,WM,DAIRY,HEALT,329.55,10504.588,2.0,2.0,10432.0,72.588,31.875552
5138336,WM,WM,ELEC2,NATUR,498.96,10457.981,2.0,2.0,156.0,10301.981,20.959558
5133701,WM,WM,PAPER,PAPER,2422.22,10299.45,2.0,2.0,9420.0,879.45,4.25207
5129898,WM,WM,FORES,FORES,96.6,9947.83,2.0,2.0,9936.0,11.83,102.979607
5133024,WM,WM,TEXTI,WEARI,7278.95,9610.042,2.0,2.0,7403.0,2207.042,1.320251
5132211,WM,WM,DAIRY,PUBLI,300.84,9590.264,2.0,2.0,9524.0,66.264,31.878287
5129460,WM,WM,MEATA,FOOD5,110.25,9560.466,2.0,2.0,9550.0,10.466,86.716245
5134161,WM,WM,KEROS,PUBLI,5046.48,9472.272,2.0,2.0,7758.0,1714.272,1.877006
5129171,WM,WM,CATTL,RESEA,102.69,9425.114,2.0,2.0,9409.0,16.114,91.782199
5130294,WM,WM,NATUR,ELEC2,20204.53,9195.265,2.0,2.0,4070.0,5125.265,0.455109
5129120,WM,WM,CATTL,PFERT,99.09,9095.549,2.0,2.0,9080.0,15.549,91.790786
5129926,WM,WM,FORES,PULP5,87.48,9008.712,2.0,2.0,8998.0,10.712,102.980247
5132125,WM,WM,DAIRY,FISH5,280.49,8940.782,2.0,2.0,8879.0,61.782,31.875582
5132490,WM,WM,FOOD5,MEAT4,1183.92,8811.601,2.0,2.0,8605.0,206.601,7.442733
5138445,WM,WM,ELEC2,RESEA,418.01,8761.529,2.0,2.0,131.0,8630.529,20.960094
5132212,WM,WM,DAIRY,EDUCA,254.02,8096.952,2.0,2.0,8041.0,55.952,31.875254
5129969,WM,WM,FORES,FURNI,78.59,8093.624,2.0,2.0,8084.0,9.624,102.985418
5142872,WM,WM,BUSIN,CONST,16464.08,8092.904,2.0,2.0,7243.0,849.904,0.491549
5128472,WM,WM,VEGET,FOOD5,3223.56,8039.302,2.0,2.0,7637.0,402.302,2.49392
5138397,WM,WM,ELEC2,ALUM1,371.46,7785.588,2.0,2.0,116.0,7669.588,20.959425
5128323,WM,WM,CEREA,RAWMI,594.03,7748.017,2.0,2.0,7666.0,82.017,13.043141
5131858,WM,WM,MEAT4,MEAT4,1299.77,7688.065,2.0,2.0,7496.0,192.065,5.914943
5129488,WM,WM,MEATA,PFERT,86.59,7509.22,2.0,2.0,7501.0,8.22,86.721561
5138386,WM,WM,ELEC2,PFERT,358.15,7506.749,2.0,2.0,112.0,7394.749,20.959791
5133023,WM,WM,TEXTI,TEXTI,5608.5,7404.546,2.0,2.0,5704.0,1700.546,1.320236
5128312,WM,WM,CEREA,CEREA,563.33,7347.778,2.0,2.0,7270.0,77.778,13.04347
5137070,WM,WM,FABRI,CONST,11619.99,7243.908,2.0,2.0,5025.0,2218.908,0.623401
5138429,WM,WM,ELEC2,RETA1,343.08,7190.513,2.0,2.0,107.0,7083.513,20.958706
