trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,natural_resource/land,natural_resource/water,resources_intensity
3033050,US,CA,FORES,WOODW,133.43,22782.412,2.0,2.0,22782.0,0.412,170.7443
3033036,US,CA,FORES,FORES,84.83,14484.262,2.0,2.0,14484.0,0.262,170.744571
3033514,US,CA,MEATC,HOTEL,259.49,12879.319,2.0,2.0,12876.0,3.319,49.6332
3034402,US,CA,WOODW,CONST,654.5,12441.422,2.0,2.0,12428.0,13.422,19.009048
3032922,US,CA,CATTL,MEATC,209.84,12118.588,2.0,2.0,12116.0,2.588,57.751563
3034341,US,CA,WOODW,WOODW,614.21,11675.596,2.0,2.0,11663.0,12.596,19.009127
3033496,US,CA,MEATC,FOOD5,183.62,9114.349,2.0,2.0,9112.0,2.349,49.637017
3037261,US,CA,MOTO1,MOTO1,15937.01,7851.911,2.0,2.0,7575.0,276.911,0.492684
3032873,US,CA,OILSE,OILSE,419.35,6990.672,2.0,2.0,6984.0,6.672,16.670256
3033052,US,CA,FORES,PAPER,38.48,6571.119,2.0,2.0,6571.0,0.119,170.767126
3597169,BR,CA,ALUM1,ALUM1,881.36,6259.238,2.0,2.0,6211.0,48.238,7.101795
3033491,US,CA,MEATC,MEATC,116.02,5758.484,2.0,2.0,5757.0,1.484,49.633546
3034534,US,CA,PAPER,PAPER,1208.01,5324.084,2.0,2.0,5286.0,38.084,4.407318
3033051,US,CA,FORES,PULP5,28.54,4874.088,2.0,2.0,4874.0,0.088,170.780939
3978227,AU,CA,MEATC,HOTEL,33.62,4307.165,2.0,2.0,4307.0,0.165,128.113177
3036061,US,CA,RUBBE,CONST,3794.96,4116.563,2.0,2.0,4031.0,85.563,1.084745
3032829,US,CA,VEGET,FOOD5,2600.56,3956.045,2.0,2.0,3930.0,26.045,1.521228
3034452,US,CA,PULP5,PAPER,90.13,3856.943,2.0,2.0,3855.0,1.943,42.79311
3316244,CN,CA,WOODW,CONST,156.7,3264.7,2.0,2.0,3261.0,3.7,20.834078
4567800,WA,CA,MEATC,HOTEL,111.83,3192.266,2.0,2.0,3187.0,5.266,28.545703
3033889,US,CA,FOOD5,HOTEL,1382.79,3078.873,2.0,2.0,3061.0,17.873,2.226566
3316191,CN,CA,WOODW,WOODW,147.06,3064.472,2.0,2.0,3061.0,3.472,20.838243
3978219,AU,CA,MEATC,FOOD5,23.79,3048.117,2.0,2.0,3048.0,0.117,128.125977
3034343,US,CA,WOODW,PAPER,156.3,2971.205,2.0,2.0,2968.0,3.205,19.009629
3036024,US,CA,RUBBE,RUBBE,2651.9,2876.791,2.0,2.0,2817.0,59.791,1.084804
3034532,US,CA,PAPER,WOODW,649.73,2863.483,2.0,2.0,2843.0,20.483,4.407189
3034387,US,CA,WOODW,FURNI,146.47,2784.004,2.0,2.0,2781.0,3.004,19.007333
3033830,US,CA,FOOD5,FOOD5,1191.83,2654.405,2.0,2.0,2639.0,15.405,2.227167
3037063,US,CA,FABRI,CONST,4809.88,2486.039,2.0,2.0,2335.0,151.039,0.516861
4567789,WA,CA,MEATC,FOOD5,79.13,2258.726,2.0,2.0,2255.0,3.726,28.544496
4731766,WL,CA,FORES,WOODW,1.68,2164.012,2.0,2.0,2164.0,0.012,1288.102381
3034450,US,CA,PULP5,WOODW,49.09,2101.058,2.0,2.0,2100.0,1.058,42.800122
3978215,AU,CA,MEATC,MEATC,15.03,1926.074,2.0,2.0,1926.0,0.074,128.148636
3035607,US,CA,PLAST,CHEM1,5716.86,1825.274,2.0,2.0,1706.0,119.274,0.319279
3034342,US,CA,WOODW,PULP5,95.25,1810.953,2.0,2.0,1809.0,1.953,19.01263
3036692,US,CA,ALUM1,ALUM1,3485.2,1737.814,2.0,2.0,1526.0,211.814,0.498627
4731952,WL,CA,MEATC,HOTEL,30.73,1689.73,2.0,2.0,1689.0,0.73,54.986333
3318281,CN,CA,FURNI,BUSIN,370.28,1682.596,2.0,2.0,1673.0,9.596,4.544118
3032761,US,CA,CEREA,FOOD5,236.82,1638.81,2.0,2.0,1634.0,4.81,6.920066
3034535,US,CA,PAPER,PRINT,371.09,1635.699,2.0,2.0,1624.0,11.699,4.407823
3318250,CN,CA,FURNI,FURNI,357.34,1624.261,2.0,2.0,1615.0,9.261,4.545422
4733217,WL,CA,COPP1,COPP1,508.1,1542.422,2.0,2.0,1522.0,20.422,3.035666
